업태구분명,소재지전체주소
호프/통닭,서울특별시 광진구 중곡동 116-6 
호프/통닭,서울특별시 광진구 중곡동 43-20 (1층) 
호프/통닭,서울특별시 광진구 화양동 8-58번지 
호프/통닭,서울특별시 광진구 구의동 631-1 현대프라임아파트 
통닭(치킨),서울특별시 광진구 자양동 609-17번지 (1층) 
호프/통닭,서울특별시 광진구 구의동 28-1 
호프/통닭,서울특별시 광진구 자양동 219-35번지 
호프/통닭,서울특별시 광진구 자양동 239-1 
호프/통닭,서울특별시 광진구 화양동 7-29 
호프/통닭,서울특별시 광진구 자양동 664-1번지 
호프/통닭,서울특별시 광진구 자양동 7-8번지 지하1층 
호프/통닭,서울특별시 광진구 화양동 8-88 1층 
호프/통닭,서울특별시 광진구 광장동 245-16 
호프/통닭,서울특별시 광진구 화양동 46-47 (4층) 
통닭(치킨),서울특별시 광진구 중곡동 691-9 (1층) 
호프/통닭,서울특별시 광진구 화양동 8-102 
호프/통닭,서울특별시 광진구 중곡동 35-1번지 
호프/통닭,서울특별시 광진구 화양동 9-6 (2층) 
호프/통닭,서울특별시 광진구 화양동 46-66번지 (1층) 
호프/통닭,서울특별시 광진구 화양동 47-72번지 1층 
호프/통닭,서울특별시 광진구 능동 222-7번지 
통닭(치킨),서울특별시 광진구 화양동 9-48 1층 
호프/통닭,서울특별시 광진구 자양동 679-31 
호프/통닭,서울특별시 광진구 구의동 27-25 
호프/통닭,서울특별시 광진구 군자동 471-3번지 
호프/통닭,서울특별시 광진구 자양동 553-303번지 
호프/통닭,서울특별시 광진구 구의동 257-39 1층 
호프/통닭,서울특별시 광진구 화양동 9-23번지 
통닭(치킨),서울특별시 광진구 구의동 31-18번지 
호프/통닭,서울특별시 광진구 광장동 248-10번지 
통닭(치킨),서울특별시 광진구 구의동 203-33 (1층) 
호프/통닭,서울특별시 광진구 화양동 8-19 
호프/통닭,서울특별시 광진구 화양동 111-27 지하1층 
호프/통닭,서울특별시 광진구 구의동 50-9번지 
호프/통닭,서울특별시 광진구 중곡동 157-20 (1층) 
통닭(치킨),서울특별시 광진구 자양동 679-13 
호프/통닭,서울특별시 광진구 구의동 210-2 
호프/통닭,서울특별시 광진구 화양동 46-48번지 
호프/통닭,서울특별시 광진구 중곡동 564-11번지 
호프/통닭,서울특별시 광진구 화양동 507-3번지 
호프/통닭,서울특별시 광진구 구의동 252-115 
호프/통닭,서울특별시 광진구 중곡동 171-30번지 
통닭(치킨),"서울특별시 광진구 화양동 5-72번지 (1,2층) "
호프/통닭,서울특별시 광진구 중곡동 164-1 1층 
호프/통닭,서울특별시 광진구 화양동 11-18 1층 
호프/통닭,서울특별시 광진구 자양동 626-1 
호프/통닭,서울특별시 광진구 자양동 637-1 
통닭(치킨),서울특별시 광진구 구의동 48-6 
통닭(치킨),서울특별시 광진구 구의동 66-92 (1층) 
호프/통닭,서울특별시 광진구 화양동 111-36 (2층) 
통닭(치킨),서울특별시 광진구 군자동 45-35번지 1층 
호프/통닭,서울특별시 광진구 구의동 143-3번지 
호프/통닭,서울특별시 광진구 구의동 226-5번지 1층 
호프/통닭,서울특별시 광진구 구의동 668 래미안파크스위트 에이동1층2호 
호프/통닭,서울특별시 광진구 화양동 47-10 
호프/통닭,서울특별시 광진구 자양동 662-13 
호프/통닭,서울특별시 광진구 화양동 8-101번지 
호프/통닭,서울특별시 광진구 화양동 3-27번지 (지하1층) 
호프/통닭,서울특별시 광진구 자양동 99-2 뚝섬 3호 매점 2층 
호프/통닭,서울특별시 광진구 중곡동 140-1 
호프/통닭,서울특별시 광진구 화양동 23-27 1층 
호프/통닭,서울특별시 광진구 광장동 580 광장12차현대홈타운1202동지하109호 
호프/통닭,서울특별시 광진구 군자동 363-13 1층 내1  5호 
호프/통닭,서울특별시 광진구 화양동 131-3 1층 
호프/통닭,서울특별시 광진구 화양동 8-95 
호프/통닭,서울특별시 광진구 자양동 845-11 
호프/통닭,서울특별시 광진구 군자동 477-1 
호프/통닭,서울특별시 광진구 화양동 5-61 
호프/통닭,서울특별시 광진구 구의동 591-22 강변리버빌 1층 101호
호프/통닭,서울특별시 광진구 구의동 52-17 1층 
호프/통닭,서울특별시 광진구 자양동 655-22 
통닭(치킨),서울특별시 광진구 자양동 550-1 
호프/통닭,서울특별시 광진구 중곡동 114-30 
호프/통닭,서울특별시 광진구 중곡동 582-3번지 
통닭(치킨),서울특별시 광진구 구의동 26-16 
호프/통닭,서울특별시 광진구 자양동 583-10번지 
호프/통닭,서울특별시 광진구 중곡동 341-28 
호프/통닭,서울특별시 광진구 화양동 24-2 
호프/통닭,"서울특별시 광진구 화양동 9-88 1,2층 "
호프/통닭,서울특별시 광진구 중곡동 150-211번지 
호프/통닭,서울특별시 광진구 구의동 55-18번지 
호프/통닭,서울특별시 광진구 구의동 252-130 (2층) 
호프/통닭,서울특별시 광진구 구의동 252-36 
호프/통닭,서울특별시 광진구 화양동 9-18 1층 
통닭(치킨),서울특별시 광진구 군자동 466-3 
호프/통닭,서울특별시 광진구 자양동 601-15번지 
호프/통닭,서울특별시 광진구 중곡동 245-4 
호프/통닭,서울특별시 광진구 자양동 47-1 1층 
호프/통닭,서울특별시 광진구 구의동 250-39번지 
호프/통닭,서울특별시 광진구 자양동 616-15번지 
호프/통닭,서울특별시 광진구 자양동 663-24 
호프/통닭,서울특별시 광진구 구의동 257-76번지 
호프/통닭,서울특별시 광진구 구의동 237-34 
호프/통닭,서울특별시 광진구 화양동 9-86 (3층) 
호프/통닭,서울특별시 광진구 군자동 476-1 
호프/통닭,서울특별시 광진구 군자동 473-15 
호프/통닭,서울특별시 광진구 구의동 243-6 지하1층 
호프/통닭,서울특별시 광진구 군자동 474-1 
호프/통닭,서울특별시 광진구 광장동 322-3 
